Date of Sale (yyyy/mm/dd),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,Month,Year
2016-06-05 00:00:00,"21 CURZON ST, PORTOBELLO, DUBLIN 8",Dublin 8,Dublin,630000.0,No,No,Second-Hand Dwelling house /Apartment,None,6.0,2016.0
2014-12-22 00:00:00,"44 ROTHE ABBEY, KILMAINHAM, DUBLIN 8",Dublin 8,Dublin,281000.0,No,No,Second-Hand Dwelling house /Apartment,None,12.0,2014.0
2020-05-22 00:00:00,"17 MERRION PARK, BLACKROCK, DUBLIN",,Dublin,560000.0,No,No,Second-Hand Dwelling house /Apartment,None,5.0,2020.0
2014-11-27 00:00:00,"KNOCKROE, RATHMOYLE, CO.KILKENNY",,Kilkenny,46000.0,No,No,Second-Hand Dwelling house /Apartment,None,11.0,2014.0
2018-11-22 00:00:00,"15 SHANNON PARK, LIFFORD RD, ENNIS",,Clare,204000.0,No,No,Second-Hand Dwelling house /Apartment,None,11.0,2018.0
2016-01-31 00:00:00,"27 MOUNT DRUMMOND SQ, HAROLDS CROSS, DUBLIN 6",Dublin 6,Dublin,375000.0,No,No,Second-Hand Dwelling house /Apartment,None,1.0,2016.0
2021-11-30 00:00:00,"10 HOLLOW WAY, OAKVIEW VILLAGE, TRALEE",,Kerry,182000.0,No,No,Second-Hand Dwelling house /Apartment,None,11.0,2021.0
2016-02-05 00:00:00,"Ballygibbon, Nenagh",,Tipperary,264317.0,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,2.0,2016.0
2018-12-03 00:00:00,"RANDLESTOWN, BALLYCOGLEY, WEXFORD",,Wexford,70000.0,No,No,Second-Hand Dwelling house /Apartment,None,12.0,2018.0
2015-11-17 00:00:00,"3 RIVER STREET, CLARA, CO OFFALY",,Offaly,34500.0,No,No,Second-Hand Dwelling house /Apartment,None,11.0,2015.0
2015-06-15 00:00:00,"Apt 350 Block 8B, Tallaght Cross West, Dublin 24",Dublin 24,Dublin,99433.75,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,6.0,2015.0
2016-12-10 00:00:00,"TOOME, DRING, COUNTY LONGFORD",,Longford,25000.0,No,No,Second-Hand Dwelling house /Apartment,None,12.0,2016.0
2018-04-17 00:00:00,"11 CASTLEKEALY LAWNS, DAINGEAN, OFFALY",,Offaly,137000.0,No,No,Second-Hand Dwelling house /Apartment,None,4.0,2018.0
2010-09-04 00:00:00,"33 Berwick Grove, Swords",,Dublin,250000.0,No,No,Second-Hand Dwelling house /Apartment,None,9.0,2010.0
2015-01-04 00:00:00,"54 BERTRAM CT, CHRISTCHURCH, DUBLIN 8",Dublin 15,Dublin,110000.0,No,No,Second-Hand Dwelling house /Apartment,None,1.0,2015.0
2021-03-06 00:00:00,"4 INISHFALLEN, ROOKERY ROAD, KILLARNEY",,Kerry,340000.0,No,Yes,New Dwelling house /Apartment,None,3.0,2021.0
2016-04-20 00:00:00,"36 COLMCILLE RD, EDENDERRY, OFFALY",,Offaly,113000.0,No,No,Second-Hand Dwelling house /Apartment,None,4.0,2016.0
2019-10-12 00:00:00,"79 CLOGHER FAILI, CAHERSLEE, TRALEE",,Kerry,210000.0,No,No,Second-Hand Dwelling house /Apartment,None,10.0,2019.0
2018-07-18 00:00:00,"3 RENOIR CLOSE, NORWOOD, THE CLE",,Waterford,140000.0,No,No,Second-Hand Dwelling house /Apartment,None,7.0,2018.0
2017-04-07 00:00:00,"COIS COILLE, DEVON ROAD, TEMPLEGLANTINE",,Limerick,130000.0,No,No,Second-Hand Dwelling house /Apartment,None,4.0,2017.0
2017-07-04 00:00:00,"Knockanna, Tinahely",,Wicklow,105000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,7.0,2017.0
2021-09-08 00:00:00,"APT 6 VANALEUR MEWS, STRAND HOUSE, ENNIS RD",,Limerick,205000.0,No,No,Second-Hand Dwelling house /Apartment,None,9.0,2021.0
2019-08-11 00:00:00,"RODSTOWN RD, ALLENSTOWN, KELLS",,Meath,230000.0,No,No,Second-Hand Dwelling house /Apartment,None,8.0,2019.0
2019-07-06 00:00:00,"114 MOUNT KENNETH, DOCK ROAD, LIMERICK",,Limerick,70000.0,No,No,Second-Hand Dwelling house /Apartment,None,7.0,2019.0
2010-07-09 00:00:00,"30 Broadfield Drive, Broadfield Manor, Rathcoole",,Dublin,281938.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,7.0,2010.0
2020-10-14 00:00:00,"4 GRATTAN TERRACE, FATHER BURKE RD, CLADDAGH",,Galway,410000.0,No,No,Second-Hand Dwelling house /Apartment,None,10.0,2020.0
2021-10-28 00:00:00,"COLLEGE RD, LETTERKENNY, DONEGAL",,Donegal,225000.0,No,No,Second-Hand Dwelling house /Apartment,None,10.0,2021.0
2014-01-20 00:00:00,"4 OAKWOOD, WOODLAWN RD, KILLARNEY",,Kerry,230000.0,No,No,Second-Hand Dwelling house /Apartment,None,1.0,2014.0
2016-09-16 00:00:00,"APT 6 WOODFORD COURT, LEINSTER RD WEST, DUBLIN",Dublin 6,Dublin,265575.0,No,No,Second-Hand Dwelling house /Apartment,None,9.0,2016.0
2021-12-02 00:00:00,"1 GURTEEN GARDENS, BALLINACURRA, LIMERICK",,Limerick,250000.0,No,No,Second-Hand Dwelling house /Apartment,None,12.0,2021.0
2016-05-25 00:00:00,"LAKE VIEW COTTAGE, FOXWOOD, KILMORE",,Roscommon,95000.0,No,No,Second-Hand Dwelling house /Apartment,None,5.0,2016.0
