Date of Sale (yyyy/mm/dd),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,Month,Year,percent,Season,Province,GDP (USD-Billion),Total Number of Loans Approved,Added Post Codes
2016-06-05 00:00:00,"21 curzon st, portobello, d8",d8,Dublin,630000.0,No,No,Second-Hand Dwelling house /Apartment,None,6.0,2016.0,0.032829940906106365,Summer,Leinster,298.73,35037.0,d8
2014-12-22 00:00:00,"44 rothe abbey, kilmainham, d8",d8,Dublin,281000.0,No,No,Second-Hand Dwelling house /Apartment,None,12.0,2014.0,0.032829940906106365,Winter,Leinster,258.63,31897.0,d8
2020-05-22 00:00:00,"17 merrion park, blackrock, dublin",,Dublin,560000.0,No,No,Second-Hand Dwelling house /Apartment,None,5.0,2020.0,0.032829940906106365,Spring,Leinster,425.89,Unkown,
2014-11-27 00:00:00,"knockroe, rathmoyle, co.kilkenny",,Kilkenny,46000.0,No,No,Second-Hand Dwelling house /Apartment,None,11.0,2014.0,0.8064516129032258,Autumn,Leinster,258.63,31897.0,
2018-11-22 00:00:00,"15 shannon park, lifford rd, ennis",,Clare,204000.0,No,No,Second-Hand Dwelling house /Apartment,None,11.0,2018.0,0.4329004329004329,Autumn,Munster,384.85,Unkown,
2016-01-31 00:00:00,"27 mount drummond sq, harolds cross, d6",d6,Dublin,375000.0,No,No,Second-Hand Dwelling house /Apartment,None,1.0,2016.0,0.032829940906106365,Winter,Leinster,298.73,35037.0,d6
2021-11-30 00:00:00,"10 hollow way, oakview village, tralee",,Kerry,182000.0,No,No,Second-Hand Dwelling house /Apartment,None,11.0,2021.0,0.3703703703703704,Autumn,Munster,440.0,Unkown,
2016-02-05 00:00:00,"ballygibbon, nenagh",,Tipperary,264317.0,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,2.0,2016.0,0.37174721189591076,Winter,Munster,298.73,35037.0,
2018-12-03 00:00:00,"randlestown, ballycogley, wexford",,Wexford,70000.0,No,No,Second-Hand Dwelling house /Apartment,None,12.0,2018.0,0.28653295128939826,Winter,Leinster,384.85,Unkown,
2015-11-17 00:00:00,"3 river street, clara, co offaly",,Offaly,34500.0,No,No,Second-Hand Dwelling house /Apartment,None,11.0,2015.0,0.9174311926605505,Autumn,Leinster,291.46,32236.0,
2015-06-15 00:00:00,"apt 350 block 8b, tallaght cross west, d24",d24,Dublin,99433.75,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,6.0,2015.0,0.032829940906106365,Summer,Leinster,291.46,32236.0,d24
2016-12-10 00:00:00,"toome, dring, county longford",,Longford,25000.0,No,No,Second-Hand Dwelling house /Apartment,None,12.0,2016.0,1.2345679012345678,Winter,Leinster,298.73,35037.0,
2018-04-17 00:00:00,"11 castlekealy lawns, daingean, offaly",,Offaly,137000.0,No,No,Second-Hand Dwelling house /Apartment,None,4.0,2018.0,0.9174311926605505,Spring,Leinster,384.85,Unkown,
2010-09-04 00:00:00,"33 berwick grove, swords",,Dublin,250000.0,No,No,Second-Hand Dwelling house /Apartment,None,9.0,2010.0,0.032829940906106365,Autumn,Leinster,221.66,20021.0,
2015-01-04 00:00:00,"54 bertram ct, christchurch, d8",d15,Dublin,110000.0,No,No,Second-Hand Dwelling house /Apartment,None,1.0,2015.0,0.032829940906106365,Winter,Leinster,291.46,32236.0,d8
2021-03-06 00:00:00,"4 inishfallen, rookery road, killarney",,Kerry,340000.0,No,Yes,New Dwelling house /Apartment,None,3.0,2021.0,0.3703703703703704,Spring,Munster,440.0,Unkown,
2016-04-20 00:00:00,"36 colmcille rd, edenderry, offaly",,Offaly,113000.0,No,No,Second-Hand Dwelling house /Apartment,None,4.0,2016.0,0.9174311926605505,Spring,Leinster,298.73,35037.0,
2019-10-12 00:00:00,"79 clogher faili, caherslee, tralee",,Kerry,210000.0,No,No,Second-Hand Dwelling house /Apartment,None,10.0,2019.0,0.3703703703703704,Autumn,Munster,399.12,Unkown,
2018-07-18 00:00:00,"3 renoir close, norwood, the cle",,Waterford,140000.0,No,No,Second-Hand Dwelling house /Apartment,None,7.0,2018.0,0.4291845493562232,Summer,Munster,384.85,Unkown,
2017-04-07 00:00:00,"cois coille, devon road, templeglantine",,Limerick,130000.0,No,No,Second-Hand Dwelling house /Apartment,None,4.0,2017.0,0.29411764705882354,Spring,Munster,334.6,Unkown,
2017-07-04 00:00:00,"knockanna, tinahely",,Wicklow,105000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,7.0,2017.0,0.32573289902280134,Summer,Leinster,334.6,Unkown,
2021-09-08 00:00:00,"apt 6 vanaleur mews, strand house, ennis rd",,Limerick,205000.0,No,No,Second-Hand Dwelling house /Apartment,None,9.0,2021.0,0.29411764705882354,Autumn,Munster,440.0,Unkown,
2019-08-11 00:00:00,"rodstown rd, allenstown, kells",,Meath,230000.0,No,No,Second-Hand Dwelling house /Apartment,None,8.0,2019.0,0.25316455696202533,Summer,Leinster,399.12,Unkown,
2019-07-06 00:00:00,"114 mount kenneth, dock road, limerick",,Limerick,70000.0,No,No,Second-Hand Dwelling house /Apartment,None,7.0,2019.0,0.29411764705882354,Summer,Munster,399.12,Unkown,
2010-07-09 00:00:00,"30 broadfield drive, broadfield manor, rathcoole",,Dublin,281938.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,7.0,2010.0,0.032829940906106365,Summer,Leinster,221.66,20021.0,
2020-10-14 00:00:00,"4 grattan terrace, father burke rd, claddagh",,Galway,410000.0,No,No,Second-Hand Dwelling house /Apartment,None,10.0,2020.0,0.20533880903490762,Autumn,Connaught,425.89,Unkown,
2021-10-28 00:00:00,"college rd, letterkenny, donegal",,Donegal,225000.0,No,No,Second-Hand Dwelling house /Apartment,None,10.0,2021.0,0.38461538461538464,Autumn,Ulster,440.0,Unkown,
