Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
06/05/2016,"21 CURZON ST, PORTOBELLO, DUBLIN 8",Dublin 8,Dublin,"€630,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2014,"44 ROTHE ABBEY, KILMAINHAM, DUBLIN 8",Dublin 8,Dublin,"€281,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/05/2020,"17 MERRION PARK, BLACKROCK, DUBLIN",,Dublin,"€560,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/11/2014,"KNOCKROE, RATHMOYLE, CO.KILKENNY",,Kilkenny,"€46,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/11/2018,"15 SHANNON PARK, LIFFORD RD, ENNIS",,Clare,"€204,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/01/2016,"27 MOUNT DRUMMOND SQ, HAROLDS CROSS, DUBLIN 6",Dublin 6,Dublin,"€375,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/11/2021,"10 HOLLOW WAY, OAKVIEW VILLAGE, TRALEE",,Kerry,"€182,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/05/2016,"Ballygibbon, Nenagh",,Tipperary,"€264,317.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
12/03/2018,"RANDLESTOWN, BALLYCOGLEY, WEXFORD",,Wexford,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/11/2015,"3 RIVER STREET, CLARA, CO OFFALY",,Offaly,"€34,500.00",No,No,Second-Hand Dwelling house /Apartment,
15/06/2015,"Apt 350 Block 8B, Tallaght Cross West, Dublin 24",Dublin 24,Dublin,"€99,433.75",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
12/10/2016,"TOOME, DRING, COUNTY LONGFORD",,Longford,"€25,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/04/2018,"11 CASTLEKEALY LAWNS, DAINGEAN, OFFALY",,Offaly,"€137,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/04/2010,"33 Berwick Grove, Swords",,Dublin,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/04/2015,"54 BERTRAM CT, CHRISTCHURCH, DUBLIN 8",Dublin 15,Dublin,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/06/2021,"4 INISHFALLEN, ROOKERY ROAD, KILLARNEY",,Kerry,"€340,000.00",No,Yes,New Dwelling house /Apartment,
20/04/2016,"36 COLMCILLE RD, EDENDERRY, OFFALY",,Offaly,"€113,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/12/2019,"79 CLOGHER FAILI, CAHERSLEE, TRALEE",,Kerry,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/07/2018,"3 RENOIR CLOSE, NORWOOD, THE CLE",,Waterford,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/07/2017,"COIS COILLE, DEVON ROAD, TEMPLEGLANTINE",,Limerick,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/04/2017,"Knockanna, Tinahely",,Wicklow,"€105,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
09/08/2021,"APT 6 VANALEUR MEWS, STRAND HOUSE, ENNIS RD",,Limerick,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/11/2019,"RODSTOWN RD, ALLENSTOWN, KELLS",,Meath,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/06/2019,"114 MOUNT KENNETH, DOCK ROAD, LIMERICK",,Limerick,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/09/2010,"30 Broadfield Drive, Broadfield Manor, Rathcoole",,Dublin,"€281,938.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
14/10/2020,"4 GRATTAN TERRACE, FATHER BURKE RD, CLADDAGH",,Galway,"€410,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/10/2021,"COLLEGE RD, LETTERKENNY, DONEGAL",,Donegal,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/01/2014,"4 OAKWOOD, WOODLAWN RD, KILLARNEY",,Kerry,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/03/2020,"12 THE COURTYARD, KILCOCK, KILDARE",,Kildare,"€315,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
16/09/2016,"APT 6 WOODFORD COURT, LEINSTER RD WEST, DUBLIN",Dublin 6,Dublin,"€265,575.00",No,No,Second-Hand Dwelling house /Apartment,
12/02/2021,"1 GURTEEN GARDENS, BALLINACURRA, LIMERICK",,Limerick,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/05/2016,"LAKE VIEW COTTAGE, FOXWOOD, KILMORE",,Roscommon,"€95,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/12/2020,"4 Forgelands, Old Forge Road, Enniscorthy",,Wexford,"€190,390.31",No,Yes,New Dwelling house /Apartment,
07/02/2019,"142 BOIREANN BHEAG, ROSCAM, GALWAY",,Galway,"€222,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/10/2017,"WILLOWHILL, RELEBEG, BAILIEBOROUGH",,Cavan,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2015,"MOUNTLANDS, KILMESSAN, CO MEATH",,Meath,"€152,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/02/2015,"EOCHAILL, GLEN, BALLYNEETY",,Limerick,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/05/2017,"APT 3, BELLINGHAM GREEN, CASTLEBELLINGHAM",,Louth,"€425,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
10/12/2018,"12 CRUACHAN, DUNGARVAN, CO WATERFORD",,Waterford,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/02/2014,"70 PARKMORE DR, TERENURE, DUBLIN 6W",,Dublin,"€610,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/04/2021,"BROOKFIELD, MYRTLEVILLE, CORK",,Cork,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/11/2016,"18 Parkside Avenue, Balgriffin, Dublin 13",Dublin 13,Dublin,"€281,938.32",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
09/12/2016,"175 BALLYROAN RD, RATHFARNHAM, DUBLIN 16",Dublin 16,Dublin,"€507,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/11/2020,"3 HERBERT LANE, DUBLIN 2, DUBLIN",,Dublin,"€710,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/04/2011,"1 Alexander Street, Waterford",,Waterford,"€45,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/08/2021,"THE COACH HOUSE, GLYNTOWN, GLANMIRE",,Cork,"€515,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/05/2021,"ALLENWOOD SOUTH, NAAS, CO KILDARE",,Kildare,"€128,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/12/2017,"92 PATRICK ST, KILKENNY, KILKENNY",,Kilkenny,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/07/2010,"17 Bishop Murphy Park, Parteen",,Clare,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/08/2021,"4 An Gairdin Cuil, Cosmona, Loughrea",,Galway,"€265,000.00",No,Yes,New Dwelling house /Apartment,
31/05/2012,"44 Fernwood, Glyntown, Glanmire",,Cork,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/08/2010,"Farragh, Killoe",,Longford,"€200,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
29/11/2021,"18 Strand View, Strand Road, Bray",,Wicklow,"€431,718.00",No,Yes,New Dwelling house /Apartment,
15/10/2020,"APT 23, BROADLEAF, CHARLOTTE QUAY",,Limerick,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/09/2018,"TEACH SABHAIRCIN, MOUNFOUN OLD PARISH, DUNGARVAN",,Waterford,"€229,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/06/2013,"35 Marsham Court, Kilmacud Road, Stillorgan",,Dublin,"€332,500.00",No,No,Second-Hand Dwelling house /Apartment,
29/05/2014,"GLENMORE, COLLON, LOUTH",,Louth,"€233,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/07/2021,"APT 38 WESTSIDE, PEARSE RD, LETTERKENNY",,Donegal,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/09/2013,"Errew, Crossmolina",,Mayo,"€57,999.00",No,No,Second-Hand Dwelling house /Apartment,
06/06/2014,"17 BELLVIEW HEIGHTS, MULLINGAR, WESTMEATH",,Westmeath,"€94,500.00",No,No,Second-Hand Dwelling house /Apartment,
28/11/2013,"BALLINGARRY, BALLYFEARD",,Cork,"€123,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/09/2015,"APT 92, CLONARD VILLAGE CENTRE, CLONARD",,Wexford,"€77,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/12/2020,"12 CHURCH AVENUE, ROMAN ST, CORK",,Cork,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/11/2019,"14 Meadowgate, Marlton Road",,Wicklow,"€297,797.36",No,Yes,New Dwelling house /Apartment,
25/11/2016,"CORCULLION, CASTLEFIN, LIFFORD",,Donegal,"€159,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
26/07/2019,"REVANAGH, COOLCULLEN, VIA CARLOW",,Kilkenny,"€107,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/07/2019,"APT 21 THE GREEN, HAZEL HATCH PARK, CELEBRIDGE",,Kildare,"€227,500.00",No,No,Second-Hand Dwelling house /Apartment,
11/12/2018,"4 Hillside, Bellingsfield, Kilcullen Road",,Kildare,"€262,540.09",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
27/05/2015,"29 Bru na hAbhainn, Collooney, Co. Sligo",,Sligo,"€115,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
25/09/2020,"18 SEAVIEW SQUARE, CNOC NAMARA, BLACKROCK",,Louth,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/09/2021,"18A GLENAMUCK COTTAGES, CARRICKMINES, DUBLIN 18",Dublin 18,Dublin,"€882,500.00",No,No,Second-Hand Dwelling house /Apartment,
31/05/2013,"98 Rafters Road, Drimnagh, Dublin",Dublin 12,Dublin,"€148,500.00",No,No,Second-Hand Dwelling house /Apartment,
17/07/2014,"100 HERBERTON RD, RIALTO, DUBLIN 8",Dublin 8,Dublin,"€405,500.00",No,No,Second-Hand Dwelling house /Apartment,
01/09/2015,"2 STUCKER HILL, ABBEYLEIX",,Laois,"€76,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/11/2018,"3 DISCOVERY, ROYAL CANAL PARK, RATOATH RD DUBLIN 15",Dublin 7,Dublin,"€237,885.46",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
06/04/2018,"2 BENTLEY VILLAS, DUN LAOGHAIRE, DUBLIN",,Dublin,"€485,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/01/2013,"13 Greenpark Meadows, Mullingar",,Westmeath,"€107,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/06/2018,"11 FORTFIELD DR, TERENURE, DUBLIN 6W",,Dublin,"€1,143,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/11/2015,"4 ABOTTS WOOD, CARNDONAGH, DONEGAL",,Donegal,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
