Date of Sale (yyyy/mm/dd),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,Month,Year
2016-06-05,"21 CURZON ST, PORTOBELLO, DUBLIN 8",Dublin 8,Dublin,630000.0,No,No,Second-Hand Dwelling house /Apartment,None,6,2016
2014-12-22,"44 ROTHE ABBEY, KILMAINHAM, DUBLIN 8",Dublin 8,Dublin,281000.0,No,No,Second-Hand Dwelling house /Apartment,None,12,2014
2020-05-22,"17 MERRION PARK, BLACKROCK, DUBLIN",None,Dublin,560000.0,No,No,Second-Hand Dwelling house /Apartment,None,5,2020
2014-11-27,"KNOCKROE, RATHMOYLE, CO.KILKENNY",None,Kilkenny,46000.0,No,No,Second-Hand Dwelling house /Apartment,None,11,2014
2018-11-22,"15 SHANNON PARK, LIFFORD RD, ENNIS",None,Clare,204000.0,No,No,Second-Hand Dwelling house /Apartment,None,11,2018
2016-01-31,"27 MOUNT DRUMMOND SQ, HAROLDS CROSS, DUBLIN 6",Dublin 6,Dublin,375000.0,No,No,Second-Hand Dwelling house /Apartment,None,1,2016
2021-11-30,"10 HOLLOW WAY, OAKVIEW VILLAGE, TRALEE",None,Kerry,182000.0,No,No,Second-Hand Dwelling house /Apartment,None,11,2021
2016-02-05,"Ballygibbon, Nenagh",None,Tipperary,264317.0,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,2,2016
2018-12-03,"RANDLESTOWN, BALLYCOGLEY, WEXFORD",None,Wexford,70000.0,No,No,Second-Hand Dwelling house /Apartment,None,12,2018
2015-11-17,"3 RIVER STREET, CLARA, CO OFFALY",None,Offaly,34500.0,No,No,Second-Hand Dwelling house /Apartment,None,11,2015
2015-06-15,"Apt 350 Block 8B, Tallaght Cross West, Dublin 24",Dublin 24,Dublin,99433.75,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,6,2015
2016-12-10,"TOOME, DRING, COUNTY LONGFORD",None,Longford,25000.0,No,No,Second-Hand Dwelling house /Apartment,None,12,2016
2018-04-17,"11 CASTLEKEALY LAWNS, DAINGEAN, OFFALY",None,Offaly,137000.0,No,No,Second-Hand Dwelling house /Apartment,None,4,2018
2010-09-04,"33 Berwick Grove, Swords",None,Dublin,250000.0,No,No,Second-Hand Dwelling house /Apartment,None,9,2010
2015-01-04,"54 BERTRAM CT, CHRISTCHURCH, DUBLIN 8",Dublin 15,Dublin,110000.0,No,No,Second-Hand Dwelling house /Apartment,None,1,2015
2021-03-06,"4 INISHFALLEN, ROOKERY ROAD, KILLARNEY",None,Kerry,340000.0,No,Yes,New Dwelling house /Apartment,None,3,2021
2016-04-20,"36 COLMCILLE RD, EDENDERRY, OFFALY",None,Offaly,113000.0,No,No,Second-Hand Dwelling house /Apartment,None,4,2016
2019-10-12,"79 CLOGHER FAILI, CAHERSLEE, TRALEE",None,Kerry,210000.0,No,No,Second-Hand Dwelling house /Apartment,None,10,2019
2018-07-18,"3 RENOIR CLOSE, NORWOOD, THE CLE",None,Waterford,140000.0,No,No,Second-Hand Dwelling house /Apartment,None,7,2018
2017-04-07,"COIS COILLE, DEVON ROAD, TEMPLEGLANTINE",None,Limerick,130000.0,No,No,Second-Hand Dwelling house /Apartment,None,4,2017
2017-07-04,"Knockanna, Tinahely",None,Wicklow,105000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,7,2017
2021-09-08,"APT 6 VANALEUR MEWS, STRAND HOUSE, ENNIS RD",None,Limerick,205000.0,No,No,Second-Hand Dwelling house /Apartment,None,9,2021
2019-08-11,"RODSTOWN RD, ALLENSTOWN, KELLS",None,Meath,230000.0,No,No,Second-Hand Dwelling house /Apartment,None,8,2019
2019-07-06,"114 MOUNT KENNETH, DOCK ROAD, LIMERICK",None,Limerick,70000.0,No,No,Second-Hand Dwelling house /Apartment,None,7,2019
